created,text,retwc,hashtag,followers,friends
2018-03-06 18:05:09,"b""RT @JohnTheLinger: You have no idea how loud I talked about the Olympics' closing ceremony today. I felt so excited to talk about it with o\xe2\x80\xa6""",875,None,159,276
2018-03-06 18:05:07,"b""After Olympics they finally figured out that I wasn't hyping up myself for no reason ... And my classmate asked me\xe2\x80\xa6 https://t.co/m3sIrjpbUb""",0,None,11,16
2018-03-06 18:05:07,b'RT @Avoid: We preparing Antsy for the Olympics https://t.co/y7DTRYHrjq',12,None,309,36
2018-03-06 18:05:06,b'RT @FluffSociety: \xe2\x80\x9cWatching the Olympics these past 2 weeks has really brought out my inner athlete!\xe2\x80\x9d https://t.co/5BjF2nbdW1',67,None,715,841
2018-03-06 18:05:05,"b'Listen to Rock City on  @BDWD2  #crownroyal may or may not have been involved. We discuss t shirts, Winter Olympics\xe2\x80\xa6 https://t.co/Z3oyFuO85R'",1,crownroyal,3601,1663
2018-03-06 18:05:02,"b""@JAMJAR_SSB64 @KeroKeroppi64 Take events for other sports. The olympics isn't some crazy name, its Olympics Rio, Ol\xe2\x80\xa6 https://t.co/WluTazZQcb""",0,None,1143,470
2018-03-06 18:05:02,"b""RT @ampcalgary: Gold medal winner BRADY LEMAN is coming home to Calgary TODAY from the Olympics at 3p. If you're free and want to welcome h\xe2\x80\xa6""",2,None,838,715
2018-03-06 18:04:49,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,138,100
2018-03-06 18:04:48,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,1125,619
2018-03-06 18:04:47,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,2240,167
2018-03-06 18:04:42,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,262,239
2018-03-06 18:04:39,"b'RT @aintyourputa: CL, a global superstar, had to do her own makeup, fixed her own outfit, and as well had her backup dancers looking for ha\xe2\x80\xa6'",5234,None,345,341
2018-03-06 18:04:35,b'RT @Olympics: Happy Birthday @DickFosbury1 \xf0\x9f\x8e\x82 - It took 72 years to jump backwards! \xf0\x9f\x91\x8f #Olympics https://t.co/HIiC5sAqy2',101,Olympics,145,111
2018-03-06 18:04:34,b'RT @MailEsports: Should the esports industry even consider being a part of the Olympics? @PaulChaloner and @Ginjured discuss https://t.co/e\xe2\x80\xa6',3,None,79,163
2018-03-06 18:04:34,b'@SkyNews @BorisJohnson Russia were awarded the games via a corrupt process....nobody did anything. Some Russian ath\xe2\x80\xa6 https://t.co/sHVg31UAJZ',0,None,244,587
2018-03-06 18:04:33,b'RT @furryeol_: \xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86\nExo as Art: A Thread\n\xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86.\xe3\x80\x82.:*\xe3\x83\xbb\xc2\xb0\xe2\x98\x86\n\n#EXO_Olympics',24,EXO_Olympics,0,0
2018-03-06 18:04:23,"b'RT @weareoneEXO: It was a great pleasure to meet President Moon, First Lady Kim, and Ms.Ivanka Trump at the 2018 PyeongChang Winter Olympic\xe2\x80\xa6'",108856,None,0,14
